,Condition,Drugs
553,Postpartum Haemorrhage (PPH),"[Carbetocin, Misoprostol, Methylergometrine]"
554,Locally advanced Urothelial Carcinoma,"[Atezolizumab, Pembrolizumab, Durvalumab]"
555,Toxoplasma gondii encephalitis,"[Atovaquone, Clindamycin, Sulfamethoxazole]"
556,Migraine with acute onset aura,"[Naratriptan, Rizatriptan, Eletriptan]"
557,Sjögren's Syndrome,"[Hydroxychloroquine, Prednisolone, Prednisone]"
558,Severe ventricular arrhythmias,"[Mexiletine, Sotalol, Flecainide]"
559,Chronic immune thrombocytopenia,"[Fostamatinib, Romiplostim, Lusutrombopag]"
560,Wilson's Disease,"[Penicillamine, Zinc, Triethylenetetramine]"
561,Lennox-Gastaut Syndrome (LGS),"[Clonazepam, Topiramate, Rufinamide]"
562,Bipolar 1 Disorder,"[Olanzapine, Aripiprazole, Ziprasidone]"
563,NSAID Associated Gastric Ulcers,"[Omeprazole, Rabeprazole, Esomeprazole]"
564,Meningitis caused by Haemophilus influenzae,"[Polymyxin B, Sulfadiazine, Acetyl sulfisoxazole]"
565,Ureteral Calculus,"[Nifedipine, Terazosin, Tamsulosin]"
566,Angioedema,"[Diphenhydramine, Carbinoxamine, Clemastine]"
567,Relapsing Polychondritis,"[Prednisolone, Dapsone, Prednisone]"
568,Minor burns,"[Amikacin, Bendazac, Camphor]"
569,Cushing's Syndrome,"[Dexamethasone, Mitotane, Methylprednisolone]"
570,Infantile Spasms (IS),"[Topiramate, Vigabatrin, Corticotropin]"
571,Osteomyelitis,"[Clindamycin, Aztreonam, Cloxacillin]"
572,Tension Headache,"[Butalbital, Dichloralphenazone, Acetylsalicylic acidCommonly known or available as Aspirin]"
573,Hyperlipidemias,"[Colesevelam, Glycyrrhizic acid, Pravastatin]"
574,Supraventricular Arrhythmias,"[Propranolol, Bisoprolol, Procainamide]"
575,Hypersecretory conditions,"[Lansoprazole, Omeprazole, Famotidine]"
576,Parkinsonian Syndromes,"[Ioflupane I-123, Procyclidine, Diphenhydramine]"
577,Advanced Endometrial Cancer,"[Megestrol acetate, Doxorubicin, Carboplatin]"
578,Acute Exacerbation of Chronic Bronchitis caused by Streptococcus Pneumoniae,"[Cefixime, Cefdinir, Cefaclor]"
579,Primary Syphilis,"[Procaine benzylpenicillin, Doxycycline, Erythromycin]"
580,Metastatic Renal Cell Carcinoma,"[Aldesleukin, Medroxyprogesterone acetate, Bevacizumab]"
581,Cutaneous T-Cell Lymphoma (CTCL),"[Denileukin diftitox, Cladribine, Pralatrexate]"
582,Corticosteroid-responsive Dermatosis,"[Bacitracin, Desoximetasone, Beclomethasone dipropionate]"
583,Skin bacterial infection,"[Framycetin, Gentamicin, Ampicillin]"
584,Pneumocystis Jirovecii Pneumonia,"[Pentamidine, Sulfamethoxazole, Fluorescein]"
585,Psoriatic plaque,"[Betamethasone, Bupivacaine, Triamcinolone]"
586,"Headache, Tension-Type","[Butalbital, Mirtazapine, Amitriptyline]"
587,Acute rheumatic carditis,"[Dexamethasone, Methylprednisolone, Betamethasone]"
588,Cold Sore,"[Docosanol, Benzyl alcohol, Penciclovir]"
589,Acute Angle closure glaucoma,"[Pilocarpine, CarbamoylcholineCommonly known or available as Carbachol, Methazolamide]"
590,Severe Staphylococcal infection,"[Vancomycin, Gentamicin, Benzylpenicillin]"
591,Metastatic Bladder Cancer,"[Docetaxel, Gemcitabine, Paclitaxel]"
592,ST Elevation Myocardial Infarction (STEMI),"[Heparin, Tenecteplase, Fondaparinux]"
593,Pediculosis Capitis,"[Lindane, Sulfamethoxazole, Ivermectin]"
594,Lice of the head,"[Malathion, Benzyl alcohol, Permethrin]"
595,Hypergonadotropic Hypogonadism,"[Fluoxymesterone, Methyltestosterone, Testosterone]"
596,Temporal Arteritis,"[Betamethasone, Bupivacaine, Triamcinolone]"
597,Vitamin B12 Deficiency,"[Methylcobalamin, Hydroxocobalamin, CyanocobalaminCommonly known or available as Vitamin B12]"
598,"Pneumonia, Pneumocystis","[Clindamycin, Primaquine, Trimethoprim]"
599,"Endocarditis, Bacterial","[Ceftriaxone, Phenoxymethylpenicillin, Metronidazole]"
600,Duchenne's Muscular Dystrophy (DMD),"[Deflazacort, Ataluren, Eteplirsen]"
601,"Hypertension,Essential","[Hydrochlorothiazide, Hydralazine, Perindopril]"
602,Stent Thrombosis,"[Ticlopidine, Cangrelor, Ticagrelor]"
603,Cluster Headache,"[Ergotamine, Topiramate, Dihydroergotamine]"
604,Chronic Lymphocytic Leukemia (CLL) - Refractory,"[Ofatumumab, Oxaliplatin, Lenalidomide]"
605,"Acute, uncomplicated Malaria caused by plasmodium falciparum","[Proguanil, Atovaquone, Artemether]"
606,Severe Acne Vulgaris,"[Ethinylestradiol, Minocycline, Demeclocycline]"
607,Skin Structures and Soft Tissue Infections,"[Ceftazidime, Metronidazole, Erythromycin]"
608,The Mortality Rate,"[Pravastatin, Valsartan, Acetylsalicylic acidCommonly known or available as Aspirin]"
609,Refractory Aplastic anemia,"[Tocilizumab, Axitinib, Eltrombopag]"
610,Secondary adrenocortical insufficiency,"[Triamcinolone, Prednisone, Hydrocortisone]"
611,"Refractory, accelerated phase Chronic myeloid leukemia","[Imatinib, Nilotinib, Omacetaxine mepesuccinate]"
612,"Abscess, Intra-Abdominal","[Clindamycin, Cefoxitin, Metronidazole]"
613,Ascites,"[Spironolactone, Amiloride, Etacrynic acid]"
614,Dysbetalipoproteinemia,"[Rosuvastatin, Atorvastatin, Pravastatin]"
615,Post-traumatic Osteoarthritis,"[Dexamethasone, Methylprednisolone, Prednisolone]"
616,Clostridium difficile infection recurrence,"[Nitazoxanide, Rifaximin, Bezlotoxumab]"
617,Pancreatic Cancer Metastatic,"[Leucovorin, Capecitabine, Erlotinib]"
618,Macular Edema (ME),"[Dexamethasone, Ranibizumab, Aflibercept]"
619,Systemic Mastocytosis,"[Omeprazole, Ranitidine, Midostaurin]"
620,Post exposure HIV transmission,"[Emtricitabine, Zidovudine, Efavirenz]"
621,Opioid Dependence,"[Buprenorphine, Naltrexone, Naloxone]"
622,Acute Anxiety,"[Hydroxyzine, Bromazepam, Chlordiazepoxide]"
623,Eye redness,"[Tetryzoline, Zinc, Naphazoline]"
624,"Nephritis, Lupus","[Cyclophosphamide, Ciclosporin, Azathioprine]"
625,Estrogen Deficiency,"[Norethisterone, Conjugated estrogens, Estradiol]"
626,Acute Exacerbation of Chronic Obstructive Pulmonary Disease,"[Prednisolone, Tiotropium, Prednisone]"
627,Spontaneous Bacterial Peritonitis (SBP),"[Ofloxacin, Sulfamethoxazole, Norfloxacin]"
628,Severe alcoholic liver disease,"[Pentoxifylline, Propylthiouracil, Prednisolone]"
629,Severe Eosinophilic Asthma,"[Benralizumab, Reslizumab, Mepolizumab]"
630,Lyme Neuroborreliosis,"[Ceftriaxone, Cefotaxime, Amoxicillin]"
631,Refractory peripheral cutaneous T-cell lymphoma,"[Romidepsin, Methoxsalen, Bexarotene]"
632,Fallopian Tube Cancer,"[Niraparib, Olaparib, Paclitaxel]"
633,"Anemia, Pernicious","[Pyridoxal phosphate, Hydroxocobalamin, CyanocobalaminCommonly known or available as Vitamin B12]"
634,Refractory Acute Lymphoblastic Leukemia,"[Nelarabine, Imatinib, Clofarabine]"
635,Neurogenic Bladder Dysfunction,"[Oxybutynin, Hyoscyamine, Bethanechol]"
636,Prostatitis,"[Cefazolin, Ofloxacin, Flavoxate]"
637,Invasive Aspergillosis,"[Amphotericin B, Voriconazole, Anidulafungin]"
638,Primary adrenocortical insufficiency,"[Triamcinolone, Prednisone, Hydrocortisone]"
639,Metastatic Medullary Thyroid Cancer,"[Vandetanib, Iodide I-131, Iodide I-123]"
640,"Puberty, Delayed","[Fluoxymesterone, Methyltestosterone, Testosterone]"
641,"Moderate, active Rheumatoid arthritis","[Baricitinib, Golimumab, Sarilumab]"
642,Tinea Capitis,"[Clioquinol, Griseofulvin, Terbinafine]"
643,Histoplasmosis,"[Amphotericin B, Ketoconazole, Itraconazole]"
644,Severe Atopic Dermatitis,"[Dupilumab, Betamethasone, Tacrolimus]"
645,Refractory Atopic dermatitis,"[Pimecrolimus, Tacrolimus, Teniposide]"
646,Lyme Disease,"[Cefuroxime, Clarithromycin, Cefixime]"
647,Scabies,"[Lindane, Ivermectin, Permethrin]"
648,Severe Acne,"[Doxycycline, Tetracycline, Cyproterone acetate]"
649,Lung Abscess,"[Clindamycin, Cefoxitin, Metronidazole]"
650,Muscle Spasms,"[Lorazepam, Orphenadrine, Methocarbamol]"
651,Herpes Simplex Infection,"[Valaciclovir, Acyclovir, Imiquimod]"
652,Seizures,"[Phenytoin, Fosphenytoin, Tizanidine]"
653,Salmonella Typhi Infection,"[Ceftriaxone, Cefixime, Ampicillin]"
654,Acute Exacerbation of Chronic Bronchitis (AECB),"[Aminophylline, Moxifloxacin, Sulfamethoxazole]"
655,Active Ankylosing spondylitis,"[Golimumab, Certolizumab pegol, Adalimumab]"
656,Penicillium marneffei infection,"[Amphotericin B, Voriconazole, Itraconazole]"
657,Cholestatic pruritus,"[Rifampicin, Naltrexone, Ondansetron]"
658,Vitamin D Resistant Rickets,"[CholecalciferolCommonly known or available as Vitamin D3, Ergocalciferol, Calcitriol]"
659,Mantle Cell Lymphoma (MCL),"[Bortezomib, Ibrutinib, Lenalidomide]"
660,"Refractory, metastatic Colorectal cancer","[Regorafenib, Ramucirumab]"
661,Urinary Incontinence (UI),"[Propiverine, Botulinum toxin type A]"
662,Relapsing fever caused by Borrelia recurrentis,"[Doxycycline, Demeclocycline]"
663,Active Duodenal ulcer,"[Sucralfate, Cimetidine]"
664,Heart Block,"[Hyoscyamine, Isoprenaline]"
665,Cervicitis,"[Ofloxacin, Azithromycin]"
666,"Seizures, Epileptic","[Fludeoxyglucose F-18, Midazolam]"
667,Wet Age-Related Macular Degeneration,"[Ranibizumab, Aflibercept]"
668,Vasculitis,"[Prednisolone, Prednisone]"
669,Arrythmias,"[Glycopyrronium, Dopamine]"
670,"Polyps, Nasal","[Budesonide, Mometasone]"
671,Hypertriglyceridemias,"[Rosuvastatin, Atorvastatin]"
672,Endometriosis related pain,"[Norethisterone, Medroxyprogesterone acetate]"
673,Secondary Amenorrhea,"[Norethisterone, Progesterone]"
674,Varicella Zoster Virus Infection,"[Valaciclovir, Foscarnet]"
675,Relapsing Fever,"[Minocycline, Tetracycline]"
676,Bacterial Infection caused by Enterobacter aerogenes,"[Kanamycin, Doxycycline]"
677,Adenocarcinoma of the Ovaries,"[Thiotepa, Cyclophosphamide]"
678,External ear infection NOS,"[Acetic acid, Colistin]"
679,Nocturnal Enuresis,"[Amitriptyline, Trimipramine]"
680,Hyponatremias,"[Sodium chloride, Sodium acetate]"
681,Minor pain,"[Diclofenac, Choline salicylate]"
682,Hypochloremic state,"[Ammonium chloride, Sodium chloride]"
683,Opioid Overdose,"[Nalmefene, Naloxone]"
684,Osteogenesis Imperfecta,"[Alendronic acid, Technetium Tc-99m oxidronate]"
685,Pyoderma,"[Clioquinol, Levofloxacin]"
686,Severe agitation,"[Perphenazine, Amitriptyline]"
687,Subfoveal Choroidal Neovascularization,"[Ranibizumab, Verteporfin]"
688,Syncope,"[Epinephrine, Isoprenaline]"
689,Catheter related bloodstream infections,"[Cefazolin, Doripenem]"
690,Fredrickson classification type IV Hyperlipidemia,"[Bezafibrate, Gemfibrozil]"
691,Hematopoietic Subsyndrome of Acute Radiation Syndrome,"[Pegfilgrastim, Filgrastim]"
692,Idiopathic orthostatic hypotension,"[Pyridostigmine, Ephedrine]"
693,Actinic Keratoses of the face,"[Aminolevulinic acid, Imiquimod]"
694,Hemangiomas,"[Propranolol, Triamcinolone]"
695,Androgenetic Alopecia,"[Finasteride, Minoxidil]"
696,Severe Juvenile idiopathic arthritis,"[Abatacept, Adalimumab]"
697,Paraphilia,"[Cyproterone acetate, Leuprolide]"
698,Genitourinary tract infection,"[Cephalexin, Ampicillin]"
699,Essential Thrombocythemia (ET),"[Busulfan, Hydroxyurea]"
700,"Carcinoma, Bronchogenic","[Doxorubicin, Mechlorethamine]"
701,Superficial punctate keratitis,"[Loteprednol, Prednisolone]"
702,Refractory Neuroblastoma,"[Topotecan, Temozolomide]"
703,Vascular Headaches,"[Ergotamine, Dichloralphenazone]"
704,Pruritus,"[Loratadine, Hydroxyzine]"
705,"Pneumonia, Bacterial","[Clindamycin, Cefotaxime]"
706,Sialorrhea,"[Botulinum Toxin Type B, Botulinum toxin type A]"
707,Diaper Dermatitis,"[Miconazole, Zinc]"
708,Acute maxillary sinusitis,"[Clarithromycin, Cefpodoxime]"
709,Moderate Juvenile idiopathic arthritis,"[Abatacept, Adalimumab]"
710,Wound Sepsis,"[Sulfadiazine, Silver sulfadiazine]"
711,Ascariasis,"[Nitazoxanide, Albendazole]"
712,Refractory Testicular cancer,"[Etoposide, Oxaliplatin]"
713,Thyroid Carcinoma,"[Iodide I-131, Doxorubicin]"
714,Duodenal ulcer caused by helicobacter pylori,"[Amoxicillin, Clarithromycin]"
715,Infectious diarrhea,"[Ciprofloxacin, Norfloxacin]"
716,Ascaris lumbricoides infection,"[Mebendazole, Ivermectin]"
717,Perianal Warts,"[Podofilox, Sinecatechins]"
718,Adult Onset Growth Hormone Deficiency,"[Somatotropin, Macimorelin]"
719,Myxedema coma,"[Levothyroxine, Liothyronine]"
720,Aspergillosis,"[Micafungin, Itraconazole]"
721,Bacterial otitis media caused by Haemophilus influenzae,"[Sulfadiazine, Cefdinir]"
722,Chronic Phase Chronic Myeloid Leukemia,"[Nilotinib, Ponatinib]"
723,Euthyroid Goitre,"[Levothyroxine, Liothyronine]"
724,Moderate Dementia Alzheimer's type,"[Rivastigmine, Donepezil]"
725,Refractory Rheumatoid arthritis,"[Penicillamine, Tacrolimus]"
726,Colorectal Cancers,"[Pembrolizumab, Acetylsalicylic acidCommonly known or available as Aspirin]"
727,Knee Osteoarthritis (Knee OA),"[Duloxetine, Diclofenac]"
728,Fungal peritonitis caused by Candida,"[Anidulafungin, Fluconazole]"
729,Cyclitis,"[Loteprednol, Prednisolone]"
730,"Inoperable, metastatic Breast cancer","[Fluoxymesterone, Testosterone]"
731,Moderate Agitation,"[Perphenazine, Amitriptyline]"
732,Vitiligo,"[Pimecrolimus, Tacrolimus]"
733,"Infection, Bacteroides","[Metronidazole, Tetracycline]"
734,Amebiasis,"[Tinidazole, Metronidazole]"
735,Polyuria,"[Desmopressin, Amiloride]"
736,Pulmonary Hypertension (PH),"[Nifedipine, Diltiazem]"
737,Chronic Myelomonocytic Leukemia,"[Decitabine, Azacitidine]"
738,Neonatal-onset multisystemic inflammatory disease,"[Anakinra, Canakinumab]"
739,Moderate Community acquired pneumonia,"[Tazobactam, Piperacillin]"
740,"Acidosis, Renal Tubular","[Hydrochlorothiazide, Potassium Citrate]"
741,Pregnancy,"[Levonorgestrel, Progesterone]"
742,Advanced Testicular cancer,"[Vinblastine, Carboplatin]"
743,Complicated Bacterial Urinary Tract Infections,"[Tazobactam, Sulfamethoxazole]"
744,Choriocarcinoma,"[Vincristine, Methotrexate]"
745,"Chronic, moderate Pain","[Tapentadol, Oxycodone]"
746,Cognitive Decline,"[Florbetaben (18F), Flutemetamol (18F)]"
747,Constipation-predominant Irritable Bowel Syndrome (IBS-C),"[Linaclotide, Tegaserod]"
748,Moderate Bacterial Infections,"[Tazobactam, Piperacillin]"
749,Postoperative Urinary Retention,"[Bethanechol, Neostigmine]"
750,Catheter Related Infections,"[Oxacillin, Sulbactam]"
751,Malignant Peritoneal Neoplasm,"[Olaparib, Paclitaxel]"
752,Tuberculosis Meningitis,"[Dexamethasone, Methylprednisolone]"
753,Hepatobiliary Cancers,"[Cisplatin, Capecitabine]"
754,Acute Migraine without aura,"[Naratriptan, Rizatriptan]"
755,Moderate Essential Hypertension,"[Valsartan, Cilazapril]"
756,Severe Crohn's Disease,"[Certolizumab pegol, Vedolizumab]"
757,Severe Nausea and vomiting,"[Perphenazine, Prochlorperazine]"
758,Diabetic Gastroparesis,"[Domperidone, Metoclopramide]"
759,Histiocytic lymphoma,"[Cyclophosphamide, Vinblastine]"
760,Dysthymic Disorder,"[Mirtazapine, Maprotiline]"
761,Acute Otitis Externa,"[Acetic acid, Ciprofloxacin]"
762,"Ketoacidosis, Diabetic","[Insulin Aspart, Insulin Lispro]"
763,Hypereosinophilic Syndromes,"[Imatinib, Hydroxyurea]"
764,Endomyometritis,"[Ertapenem, Metronidazole]"
765,Primary Peritoneal Cancer,"[Niraparib, Olaparib]"
766,NYHA Functional Class II-IV Pulmonary arterial hypertension,"[Treprostinil, Bosentan]"
767,Thromboembolism,"[Heparin, Acetylsalicylic acidCommonly known or available as Aspirin]"
768,Myelodysplastic Syndromes,"[Imatinib, Decitabine]"
769,Seborrheic dermatitis of the scalp,"[Fluocinolone acetonide, Ciclopirox]"
770,Severe Dementia Alzheimer's type,"[Donepezil, Risperidone]"
771,Condylomata Acuminata,"[Sinecatechins, Imiquimod]"
772,Neuromuscular Blockade,"[Pyridostigmine, Neostigmine]"
773,Clostridium Difficile Infection (CDI),"[Metronidazole, Demeclocycline]"
774,Mild Essential Hypertension,"[Valsartan, Cilazapril]"
775,Porphyria Cutanea Tarda,"[Hydroxychloroquine, Chloroquine]"
776,Bone Metastases,"[Ibandronate, Zoledronic acid]"
777,Lung Transplant Rejection,"[Sirolimus, Antilymphocyte immunoglobulin (horse)]"
778,Vaginal yeast infection,"[Miconazole, Clotrimazole]"
779,Eye Infections,"[Bacitracin, Neomycin]"
780,Lupus Erythematosus,"[Tetracosactide, Betamethasone]"
781,Bleeding caused by Hemophilia A,"[Anti-inhibitor coagulant complex, Emicizumab]"
782,Uncomplicated Skin and Skin Structure Infections,"[Azithromycin, Linezolid]"
783,Acute Mania,"[Carbamazepine, Risperidone]"
784,Severe Nosocomial pneumonia,"[Tazobactam, Piperacillin]"
785,Parkinsonism post encephalitic,"[Amantadine, Trihexyphenidyl]"
786,Methotrexate toxicity,"[Leucovorin, Folic acid]"
787,Hepatoblastomas,"[Vincristine, Cisplatin]"
788,Advanced thymic carcinoma,"[Ifosfamide, Carboplatin]"
789,Bipolar I Disorder,"[Lamotrigine, Quetiapine]"
790,"Poisoning, Lead","[Penicillamine, Dimercaprol]"
791,Amenorrhea,"[Medroxyprogesterone acetate, Progesterone]"
792,Systemic mastocytosis with associated hematological neoplasm,"[Imatinib, Midostaurin]"
793,"Meningitis, Cryptococcal","[Amphotericin B, Fluconazole]"
794,Relapsing Multiple Sclerosis (RMS),"[Daclizumab, Ocrelizumab]"
795,Gingival Inflammation,"[Triclosan, Eucalyptol]"
796,Secondary Progressive Multiple Sclerosis (SPMS),"[Interferon beta-1b, Mitoxantrone]"
797,Hypersensitivity Pneumonitis,"[Prednisolone, Prednisone]"
798,Mild Ulcerative Colitis,"[Sulfasalazine, Balsalazide]"
799,Malignant Melanoma,"[Interferon alfa-2b, Technetium Tc-99m sulfur colloid]"
800,Idiopathic Pulmonary Fibrosis (IPF),"[Prednisolone, Nintedanib]"
801,"Aspergillosis, Allergic Bronchopulmonary","[Prednisolone, Prednisone]"
802,Sporotrichosis,"[Itraconazole, Terbinafine]"
803,Pylorospasm,"[Hyoscyamine, Atropine]"
804,Menière's Disease,"[Streptomycin, Betahistine]"
805,Cushing's Disease,"[Pasireotide, Cyproheptadine]"
806,Exacerbation of asthma,"[Aminophylline, Prednisolone]"
807,Opiate withdrawal symptoms,"[Clonidine, Chloral hydrate]"
808,Superficial Basal Cell Carcinoma,"[Fluorouracil, Imiquimod]"
809,Dry Mouth,"[Pilocarpine, Cevimeline]"
810,Refractory Small cell lung cancer,"[Cyclophosphamide, Paclitaxel]"
811,Malaria caused by Plasmodium ovale,"[Hydroxychloroquine, Primaquine]"
812,"Conjunctivitis, Vernal","[Cromoglicic acid, Lodoxamide]"
813,Gastritis,"[Sucralfate, Famotidine]"
814,Mild Dementia Alzheimer's type,"[Rivastigmine, Donepezil]"
815,Oral Mucositis,"[Diphenhydramine, Palifermin]"
816,Treatment Resistant Major Depressive Disorder,"[Ziprasidone, Risperidone]"
817,Neurotic depression,"[Amoxapine, Phenelzine]"
818,Cestode infections,"[Nitazoxanide, Praziquantel]"
819,Tubo-ovarian abscess,"[Clindamycin, Metronidazole]"
820,Sinusitis,"[Moxifloxacin, Amoxicillin]"
821,Granulomatosis With Polyangiitis,"[Rituximab, Cyclophosphamide]"
822,Moderate Melasma,"[Hydroquinone, Tretinoin]"
823,Dermatographism,"[Diphenhydramine, Carbinoxamine]"
824,Altered osteogenesis,"[Technetium Tc-99m medronate, Technetium Tc-99m pyrophosphate]"
825,Ovarian germ cell tumour,"[Vincristine, Cyclophosphamide]"
826,Cachexia,"[Megestrol acetate, Somatotropin]"
827,Polyarticular Juvenile Idiopathic Arthritis,"[Tocilizumab, Etanercept]"
828,Acute Enterocolitis,"[Hyoscyamine, Clidinium]"
829,Fungal infection of the dermal,"[Clotrimazole, Oxiconazole]"
830,Chickenpox,"[Valaciclovir, Acyclovir]"
831,Clostridium Infections,"[Doxycycline, Minocycline]"
832,"Hypophosphatemia, Familial","[CholecalciferolCommonly known or available as Vitamin D3, Ergocalciferol]"
833,Type 3 Gaucher disease,"[Taliglucerase alfa, Imiglucerase]"
834,Visceral Leishmaniasis,"[Amphotericin B, Miltefosine]"
835,Metastatic Liposarcoma,"[Trabectedin, Eribulin]"
836,Weight gain therapy,"[Orlistat, Topiramate]"
837,Systemic Dermatomyositis,"[Prednisone, Hydrocortisone]"
838,Complicated Skin and subcutaneous tissue bacterial infection,"[Telavancin, Levofloxacin]"
839,Disseminated Pulmonary Tuberculosis,"[Bupivacaine, Hydrocortisone]"
840,Actinic Keratoses of the scalp,"[Aminolevulinic acid, Imiquimod]"
841,Trichuriasis,"[Nitazoxanide, Ivermectin]"
842,Meningeal leukemia,"[Cytarabine, Methotrexate]"
843,Septic Arthritis,"[Ceftriaxone, Aztreonam]"
844,Radiation therapy induced nausea and vomiting,"[Metoclopramide, Ondansetron]"
845,Fredrickson classification type V Hyperlipidemia,"[Bezafibrate, Gemfibrozil]"
846,Chromomycosis,"[Ketoconazole, Itraconazole]"
847,Hypersecretion gastric,"[Glycopyrronium, Cimetidine]"
848,Endocarditis caused by staphylococcus aureus,"[Imipenem, Cilastatin]"
849,Chronic Gouty Arthritis,"[Probenecid, Colchicine]"
850,"Pain, Cancer","[Methotrimeprazine, Mirtazapine]"
851,Severe Urinary tract infection,"[Ertapenem, Amikacin]"
852,Skin infection caused by Staphylococcus aureus,"[Tetracycline, Demeclocycline]"
853,Superficial ocular infections,"[Sulfacetamide, Erythromycin]"
854,Hospitalization,"[Atorvastatin, Valsartan]"
855,Cervical Dystonia,"[Botulinum Toxin Type B, Botulinum toxin type A]"
856,Pruritis of the skin,"[Sodium bicarbonate, Cinchocaine]"
857,Premenstrual Syndrome,"[Glycyrrhizic acid, Bromotheophylline]"
